AED,Dirham de los Emiratos,Emiratos Árabes Unidos
AFN,Afgani afgano,Afganistán
ALL,Lek albanés,Albania
AMD,Dram armenio,Armenia
ANG,Florín antillano neerlandés,Antillas Neerlandesas
AOA,Kwanza angoleño,Angola
ARS,Peso Argentino,Argentina
AUD,Dólar Australiano,Australia
AWG,Florín arubeño,Aruba
AZN,Manat azerbaiyano,Azerbaiyán
BAM,Marco bosnioherzegovino,Bosnia y Herzegovina
BBD,Dólar de Barbados,Barbados
BDT,Taka bangladesí,Bangladesh
BGN,Lev búlgaro,Bulgaria
BHD,Dinar bahreiní,Baréin
BIF,Franco burundés,Burundi
BMD,Dólar bermudeño,Bermudas
BND,Dólar de Brunéi,Brunei
BOB,Boliviano boliviano,Bolivia
BRL,Real brasileño,Brasil
BSD,Dólar bahameño,Bahamas
BTN,Ngultrum de Bután,Bután
BWP,Pula de Botsuana,Botsuana
BYN,Rublo bielorruso,Bielorrusia
BZD,Dólar de Belice,Belice
CAD,Dólar canadiense,Canadá
CDF,Franco congoleño,República Democrática del Congo
CHF,Franco suizo,Suiza
CLP,Peso chileno,Chile
CNY,Yuán chino,China
COP,Peso colombiano,Colombia
CRC,Colón costarricense,Costa Rica
CUP,Peso cubano,Cuba
CVE,Escudo caboverdiano,Cabo Verde
CZK,Corona checa,República Checa
DJF,Franco yibutiano,Yibuti
DKK,Corona danesa,Dinamarca
DOP,Peso dominicano,República Dominicana
DZD,Dinar argelino,Argelia
EGP,Libra egipcia,Egipto
ERN,Nakfa eritreo,Eritrea
ETB,Birr etíope,Etiopía
EUR,Euro,Unión Europea
FJD,Dólar fiyiano,Fiyi
FKP,Libra malvinense,Islas Malvinas
FOK,Corona feroesa,Islas Feroe
GBP,Libra esterlina,Reino Unido
GEL,Lari georgiano,Georgia
GGP,Libra de Guernsey,Guernsey
GHS,Cedi ghanés,Ghana
GIP,Libra gibraltareña,Gibraltar
GMD,Dalasi gambiano,Gambia
GNF,Franco guineano,Guinea
GTQ,Quetzal guatemalteco,Guatemala
GYD,Dólar guyanés,Guyana
HKD,Dólar de Hong Kong,Hong Kong
HNL,Lempira hondureño,Honduras
HRK,Kuna croata,Croacia
HTG,Gourde haitiano,Haití
HUF,Florín húngaro,Hungría
IDR,Rupia indonesia,Indonesia
ILS,Nuevo shéquel israelí,Israel
IMP,Libra manesa,Isla de Man
INR,Rupia india,India
IQD,Dinar iraquí,Irak
IRR,Rial iraní,Irán
ISK,Corona islandesa,Islandia
JEP,Libra de Jersey,Jersey
JMD,Dólar jamaicano,Jamaica
JOD,Dinar jordano,Jordania
JPY,Yen japonés,Japón
KES,Chelín keniata,Kenia
KGS,Som kirguís,Kirguistán
KHR,Riel camboyano,Camboya
KID,Dólar kiribatiano,Kiribati
KMF,Franco comorense,Comoras
KRW,Won surcoreano,Corea del Sur
KWD,Dinar kuwaití,Kuwait
KYD,Dólar de las Islas Caimán,Islas Caimán
KZT,Tenge kazajo,Kazajistán
LAK,Kip laosiano,Laos
LBP,Libra libanesa,Líbano
LKR,Rupia esrilanquesa,Sri Lanka
LRD,Dólar liberiano,Liberia
LSL,Loti lesothense,Lesoto
LYD,Dinar libio,Libia
MAD,Dirham marroquí,Marruecos
MDL,Leu moldavo,Moldavia
MGA,Ariary malgache,Madagascar
MKD,Dinar macedonio,Macedonia del Norte
MMK,Kyat birmano,Myanmar
MNT,Tögrög mongol,Mongolia
MOP,Pataca de Macao,Macao
MRU,Ouguiya mauritana,Mauritania
MUR,Rupia mauriciana,Mauricio
MVR,Rufiyaa de Maldivas,Maldivas
MWK,Kwacha malauí,Malaui
MXN,Peso mexicano,México
MYR,Ringgit malayo,Malasia
MZN,Metical mozambiqueño,Mozambique
NAD,Dólar namibio,Namibia
NGN,Naira nigeriano,Nigeria
NIO,Córdoba nicaragüense,Nicaragua
NOK,Corona noruega,Noruega
NPR,Rupia nepalí,Nepal
NZD,Dólar neozelandés,Nueva Zelanda
OMR,Rial omaní,Omán
PAB,Balboa panameño,Panamá
PEN,Sol peruano,Perú
PGK,Kina de Papúa Nueva Guinea,Papúa Nueva Guinea
PHP,Peso filipino,Filipinas
PKR,Rupia pakistaní,Pakistán
PLN,Złoty polaco,Polonia
PYG,Guaraní paraguayo,Paraguay
QAR,Riyal catarí,Catar
RON,Leu rumano,Rumania
